,longitude,latitude,neigh,room_type,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable
2182,-82.56921,35.58185,A,Entire home/apt,5,3.0,3.0,189.0,28,1,5.0,False
2183,-82.57652,35.57724,A,Entire home/apt,2,1.0,1.0,175.0,30,14,5.0,True
2184,-82.62187,35.59513,A,Entire home/apt,4,2.0,2.0,125.0,2,22,4.95,False
2185,-82.51319,35.55828,C,Private room,2,1.0,1.0,56.0,5,0,,False
2186,-82.61149,35.60301,A,Entire home/apt,4,2.0,2.0,170.0,2,48,4.94,True
2187,-82.6244,35.53577,A,Entire home/apt,14,3.0,8.0,289.0,2,12,5.0,False
2188,-82.54316,35.57541,C,Entire home/apt,2,1.0,1.0,61.0,1,19,4.95,True
2189,-82.60953,35.52674,A,Entire home/apt,6,2.0,3.0,131.0,1,76,4.87,True
2190,-82.502716,35.469749,F,Entire home/apt,8,4.0,5.0,200.0,1,1,3.0,True
2191,-82.59999,35.58925,A,Private room,2,1.0,1.0,98.0,1,11,4.91,False
2192,-82.59241,35.56748,A,Entire home/apt,4,2.0,2.0,139.0,30,0,,False
2193,-82.57818,35.58557,A,Entire home/apt,12,5.0,6.0,123.0,14,7,4.43,False
2194,-82.56006,35.6005,B,Entire home/apt,2,1.0,1.0,102.0,2,71,4.93,True
2195,-82.578987,35.586372,A,Private room,2,1.0,1.0,104.0,1,29,4.86,False
2196,-82.578987,35.586372,A,Private room,2,1.0,1.0,94.0,1,31,4.84,False
2197,-82.58012,35.65423,D,Entire home/apt,4,2.0,2.0,86.0,1,68,4.44,True
2198,-82.575706,35.575588,A,Entire home/apt,4,2.0,2.0,159.0,3,43,4.98,False
2200,-82.49407,35.49292,C,Entire home/apt,8,4.0,4.0,229.0,2,21,4.81,True
2201,-82.56133,35.59997,B,Entire home/apt,2,1.0,1.0,99.0,2,77,4.86,True
2202,-82.559891,35.600533,B,Entire home/apt,4,2.0,2.0,110.0,30,3,5.0,False
2203,-82.5461,35.60312,B,Entire home/apt,2,1.0,2.0,132.0,1,10,4.3,True
2204,-82.54613,35.60337,B,Entire home/apt,4,2.0,3.0,252.0,1,19,4.53,True
2205,-82.55328,35.59497,B,Entire home/apt,4,2.0,2.0,215.0,1,30,5.0,True
2206,-82.65273,35.55272,G,Entire home/apt,6,3.0,3.0,120.0,27,1,5.0,False
2207,-82.56052,35.60003,B,Entire home/apt,6,3.0,3.0,117.0,28,1,5.0,True
2208,-82.65289,35.56507,G,Entire home/apt,4,2.0,2.0,105.0,2,17,4.88,True
2209,-82.62974,35.63235,A,Entire home/apt,2,1.0,1.0,56.0,1,175,4.74,True
2210,-82.52768,35.65074,D,Entire home/apt,8,4.0,4.0,494.0,3,0,,False
2211,-82.54041,35.56436,C,Entire home/apt,8,2.0,5.0,338.0,1,18,4.89,True
2212,-82.64102,35.57095,A,Entire home/apt,6,3.0,3.0,156.0,1,58,4.86,True
2213,-82.61601,35.57758,A,Entire home/apt,4,1.0,1.0,125.0,1,15,5.0,False
2214,-82.61148,35.59212,A,Private room,4,2.0,2.0,119.0,2,9,4.78,True
2215,-82.52964,35.62499,D,Entire home/apt,6,2.0,3.0,424.0,1,18,4.67,True
2216,-82.58693,35.61294,A,Private room,2,1.0,1.0,70.0,1,3,5.0,False
2217,-82.62427,35.54338,A,Private room,2,1.0,1.0,80.0,2,5,5.0,True
2218,-82.55446,35.58528,B,Entire home/apt,6,3.0,3.0,524.0,1,16,5.0,True
2219,-82.55457,35.5861,B,Entire home/apt,6,3.0,3.0,352.0,1,12,5.0,True
2220,-82.53188,35.56667,C,Entire home/apt,2,1.0,1.0,159.0,2,8,4.63,True
2221,-82.57647,35.65222,D,Entire home/apt,4,2.0,3.0,122.0,2,56,4.98,True
2222,-82.62263,35.58933,A,Entire home/apt,4,2.0,2.0,173.0,1,31,4.84,True
2223,-82.51166,35.59852,E,Entire home/apt,2,1.0,1.0,109.0,2,61,4.97,False
2224,-82.61912,35.55473,A,Entire home/apt,6,2.0,3.0,108.0,4,27,4.93,False
2225,-82.51341,35.48752,C,Entire home/apt,16,7.0,21.0,609.0,1,13,4.77,True
2226,-82.566841,35.604641,B,Private room,2,1.0,1.0,150.0,2,12,5.0,True
2227,-82.59047,35.575,A,Private room,2,1.0,1.0,109.0,2,36,5.0,True
2228,-82.63116,35.54013,A,Entire home/apt,4,1.0,2.0,144.0,2,22,5.0,True
2229,-82.58711,35.58487,A,Entire home/apt,2,1.0,1.0,128.0,2,28,4.82,True
2230,-82.60785,35.51156,A,Entire home/apt,6,3.0,3.0,149.0,2,60,4.98,True
2231,-82.55226,35.59698,B,Entire home/apt,2,,1.0,203.0,2,48,4.98,False
2232,-82.55294,35.6135,D,Entire home/apt,2,1.0,1.0,118.0,2,22,5.0,False
2233,-82.60481,35.57715,A,Entire home/apt,4,2.0,2.0,117.0,1,2,3.0,True
2234,-82.53077,35.55472,C,Entire home/apt,4,1.0,2.0,135.0,2,10,5.0,True
2235,-82.60664,35.57589,A,Entire home/apt,2,1.0,1.0,130.0,30,1,5.0,False
2236,-82.60962,35.63496,D,Entire home/apt,8,3.0,3.0,395.0,2,5,5.0,False
2237,-82.57701,35.58602,A,Private room,2,1.0,1.0,70.0,1,7,5.0,True
2238,-82.50139,35.61462,E,Entire home/apt,4,2.0,3.0,107.0,1,20,4.85,False
2239,-82.57848,35.64777,D,Entire home/apt,6,3.0,2.0,209.0,2,24,4.96,True
2240,-82.54781,35.5712,C,Entire home/apt,4,2.0,2.0,114.0,1,46,4.72,True
2241,-82.5286,35.63786,D,Entire home/apt,2,1.0,1.0,130.0,1,71,4.99,False
2242,-82.51136,35.55458,C,Entire home/apt,6,3.0,3.0,246.0,3,26,4.96,False
2243,-82.53213,35.56715,C,Entire home/apt,4,1.0,2.0,154.0,1,49,4.92,False
2244,-82.49939,35.47532,F,Entire home/apt,2,,1.0,78.0,1,27,4.96,True
2245,-82.48146,35.45871,H,Entire home/apt,10,4.0,7.0,232.0,1,4,5.0,True
2246,-82.61666,35.51292,A,Entire home/apt,5,2.0,2.0,222.0,1,76,5.0,True
2247,-82.55504,35.60421,B,Entire home/apt,6,2.0,3.0,135.0,30,2,5.0,False
2248,-82.49647,35.58523,E,Entire home/apt,5,2.0,3.0,168.0,2,80,5.0,False
2249,-82.541351,35.654488,D,Entire home/apt,8,4.0,4.0,425.0,1,8,5.0,True
2250,-82.596,35.63851,D,Entire home/apt,5,2.0,3.0,130.0,2,38,4.95,False
2251,-82.58413,35.47797,F,Entire home/apt,6,3.0,4.0,131.0,2,10,4.8,True
2252,-82.58709,35.63465,D,Entire home/apt,10,5.0,6.0,392.0,2,14,4.79,True
2253,-82.64855,35.61532,A,Entire home/apt,15,6.0,7.0,546.0,1,20,4.9,True
2254,-82.552101,35.597107,B,Private room,4,2.0,2.0,768.0,1,0,,True
2255,-82.61172,35.63495,D,Entire home/apt,4,1.0,2.0,115.0,2,4,5.0,False
2256,-82.552101,35.597107,B,Private room,4,2.0,1.0,845.0,1,0,,True
2257,-82.552101,35.597107,B,Private room,4,2.0,2.0,768.0,1,1,5.0,True
